KO_ID,AdFeMg1,AdFeMg2,AdFeMg3,AdFeMg4,AdFeMg5,AdFeMg6,AdFeMg7,AdFeMg8,AdFeMg9,AdFeMg10,AdFeMg11,AdFeMg12,AdFeMg13,AdFeMg14,AdFeMg15,MaFeMg1,MaFeMg2,MaFeMg3,MaFeMg4,MaFeMg5,MaFeMg6,MaFeMg7,MaFeMg8,MaFeMg9,MaFeMg10,MaFeMg11,MaFeMg12,MaFeMg13,MaFeMg14,MaFeMg15,OaFeMg1,OaFeMg2,OaFeMg3,OaFeMg4,OaFeMg5,OaFeMg6,OaFeMg7,OaFeMg8,OaFeMg9,OaFeMg10,OaFeMg11,OaFeMg12,OaFeMg13,OaFeMg14,OaFeMg15
K01420,5219.797823,6513.060491,6798.830731,5089.064927,6569.266836,7050.398636,7075.89332,5249.550854,4394.692283,3683.0131,5224.947508,7360.109598,5397.911713,6612.694409,5851.528467,5164.360106,5558.351753,5409.453483,5961.67547,5663.193556,4126.73163,5302.98795,6863.703662,5842.858726,5743.232061,4728.929392,5613.395784,5820.641258,4469.605924,4445.097493,3804.715498,7558.204182,6615.288636,3852.185966,5953.493917,5267.759695,6248.376929,4851.298602,5588.736669,7267.024473,6383.239445,6606.643746,5235.005806,7583.821415,5743.146667
K01421,1579.38139,1779.746016,2050.372196,1852.528266,1388.553678,1769.899778,1166.128719,2295.701116,2380.211169,4106.729376,2043.249468,1863.628254,2096.15966,1890.949092,2191.702928,2038.898515,1778.662426,1969.182465,1660.940295,1538.126696,3653.204551,1983.270856,1866.410721,2042.011966,2161.357435,2984.619924,1382.130164,1796.650264,3266.238067,2997.848338,1954.572162,2355.223913,1845.886288,2676.210661,1768.10771,1989.211736,2084.761757,2434.8995,1987.756125,1777.210092,1528.523839,1839.492004,2421.54675,2350.779074,2445.624372
K01424,6237.66262,6997.013223,5381.074283,6128.184957,8661.294632,6269.60598,5350.094794,7543.974888,6112.124116,6835.861942,6513.561067,6779.726816,5786.014402,5816.744726,6678.968707,5346.628591,6051.155768,5897.123101,6535.974372,5587.016446,7645.416198,5207.641395,5974.700021,5683.304801,5762.346383,6000.218612,5955.852811,5886.084906,6441.852814,5794.7534,7356.960135,7007.793765,5432.409307,7322.654582,5619.259202,6538.61277,5083.203969,5705.28131,6384.959267,5842.592422,6823.755255,5639.45313,5757.877177,5707.997957,5964.592481
K01425,2423.317099,2278.869272,1335.606984,1907.848455,3216.792572,1974.420206,1758.872804,2000.869843,1216.769215,2335.197012,2164.371335,2196.488278,1964.687251,1851.598798,3137.021463,2634.410554,2034.462527,2062.380853,2404.029423,1838.980429,2879.374064,2226.939456,2357.790415,1934.344828,2111.163292,2688.163564,1900.216963,2260.033386,2397.810487,2915.176979,3051.514965,3027.757964,1342.584825,3561.558986,1167.708044,2023.002592,1178.794121,2289.774595,1950.497486,2387.065015,1737.864049,1606.177787,1836.815766,1732.678178,2353.293262
K01426,531.6112371,729.0389643,895.4617864,537.2152231,563.4742821,656.7021246,811.7468317,421.6174628,207.9285568,286.7935416,899.8701881,698.3512657,644.0872688,906.3142822,620.7658059,858.8722054,805.5114952,843.5094332,688.4549436,336.1339679,2259.084679,588.3118973,945.8494612,456.8565195,1013.948961,1335.665042,595.7470559,1931.65244,3449.480046,3252.806563,238.7453247,650.0141363,567.0956503,393.0159405,365.8492857,345.2767714,292.7789214,1450.144535,477.1139399,765.2179702,856.2068269,356.7159252,625.0992904,531.0489301,1018.605587
K01428,613.0285637,449.5127966,381.6232965,389.4386782,535.2782234,581.824832,418.6378014,1237.844175,552.1211867,930.2631242,750.2923877,665.888334,440.7232348,414.0878265,1033.76554,1321.283694,673.8288214,1173.25049,699.0238886,452.6845671,977.9963933,1220.506036,699.7594079,1164.663241,1028.660837,1215.971481,591.9250535,854.6173998,566.4586035,1038.567582,653.2674574,559.0800856,600.7032214,1546.905294,403.5002852,498.5627506,294.8279775,1045.632998,551.1274635,618.1845093,563.8545481,736.8492605,1130.859189,600.593838,905.4639423
K01429,361.6190334,314.7562238,290.4303912,245.8145138,447.9649033,476.7044605,144.7800772,1404.366078,51.28051523,933.8096743,553.5644296,529.397747,363.8364412,380.2294367,1036.716989,1165.102492,503.881198,1016.535967,574.2076378,307.2182773,954.1653934,990.1248145,534.8231633,1178.964729,917.1129613,1126.543135,499.687601,530.3000185,478.0452768,745.3249487,639.4992829,363.9704252,423.6974439,1486.220025,372.0445141,405.5940542,218.5586317,842.7178537,424.1198655,387.7770594,426.3233427,722.327654,1027.837984,343.2748858,693.0946683
K01430,480.102978,484.3323681,395.4274564,373.4807558,460.2248692,496.6449284,410.6424446,1231.872937,167.8567086,888.8015108,754.1453121,617.1375458,467.092987,425.644743,1037.157753,1240.573422,608.252258,1225.425438,610.6372302,429.1115573,927.5248699,1091.977965,656.0370732,1050.593088,1096.840948,1172.460678,584.0963235,767.9234998,564.8140121,909.6724484,532.0409836,452.3803794,609.1388576,1528.90138,408.1815448,483.8723962,185.6461525,913.7243659,461.3353099,547.9311138,523.3329325,689.0547217,1226.000682,436.0504684,799.4606043
K01432,0,0,0,0,0,0,0,0,0,0,32.49914175,0,0,0,0,0,0,0,0,0,0,0,0,1.681652042,0,0,0,10.39244341,0,0,0,4.939254675,0,0,0,0,0,0,0,0,0.89515479,0,0,0,0
K01433,408.7722989,287.8399779,114.433049,249.3458565,374.8669024,128.937465,64.23677597,273.660032,222.3499621,722.1322406,415.9441949,391.9813061,321.9090332,194.4824519,345.5382206,373.8742367,240.6463859,505.8422537,179.0254271,298.8780774,681.6954967,140.498666,239.8588864,356.9205922,237.4905994,442.9718573,142.4759706,726.1050435,880.9435376,1064.206742,628.1562286,87.06966925,120.9381453,166.6255054,157.7528666,327.698044,388.2157896,574.4976347,256.4268116,458.8592106,152.8888343,234.6824253,342.4170616,162.5946814,333.7237764
K01434,66.36761531,81.99941837,39.65054741,32.81943128,82.34017935,28.74536943,83.49101127,45.988651,10.49935528,116.2833305,57.91530281,108.0009656,80.82130899,13.09398181,49.68734079,162.3307913,36.554243,91.76321236,29.91580468,40.57051105,31.62471753,28.79630069,15.77461516,109.9182456,18.71162951,41.56996704,24.42239048,72.94995108,52.65698952,61.48064906,0.653617933,0.318787,5.885566692,15.61422833,18.47015808,6.590300223,3.935006289,32.38340409,7.807606744,53.88998127,13.22619891,13.33388465,26.4330716,12.48711973,39.36593523
K01436,75.72237515,158.2329266,145.78847,110.6134318,123.4628864,135.3326086,123.2103724,99.76663366,124.0430381,73.47809976,171.8965625,156.2299549,83.08247858,213.2161852,123.4736142,262.3995836,224.4599542,276.1273901,165.4298944,100.0867443,877.4331675,131.4364156,360.1967319,178.6065929,369.3261351,484.9217281,140.2326625,587.1788659,1316.033214,1395.115145,125.343135,88.50706312,203.4897177,79.23567461,122.1470368,163.6169565,168.9343667,598.3203967,175.4045555,93.03814373,210.7771753,129.1752599,176.5330904,118.0048748,294.3392601
K01437,18.45752771,2.187133169,0,3.18586321,1.395791777,28.0412193,0,32.77016147,51.51621223,12.61611817,13.49901548,1.191802722,0,13.71739771,26.54302524,1.682796713,14.19563762,8.914103624,16.10425047,46.04739533,0,0,0,0,2.670266051,1.902333662,0,2.764619533,4.27435008,1.119801409,14.51017007,8.711562555,0.871668996,0,3.486072093,67.71228325,83.21899735,5.246091249,62.56318633,0,0.975451067,7.451300938,0,8.518603628,0
K01438,1748.612254,1065.374796,561.9021062,1060.55933,1856.241835,880.3129366,772.5360245,1382.664215,2736.518298,2310.632654,1338.683286,1198.563316,1450.071036,1261.144881,1092.863727,741.5846558,1056.461666,1041.952441,1114.345138,1366.677116,296.3373869,706.0531083,707.1996026,1111.47592,568.4649828,757.7507287,1381.120242,740.5371194,799.8818703,750.0636059,1982.863704,185.8178666,811.5515812,910.9686715,1191.826453,1550.645188,1428.696984,999.5856152,1381.512096,961.0707836,1112.470177,1028.77615,911.3450364,623.5538803,791.6235782
