KO_ID,AdSa1,AdSa2,AdSa3,AdSa4,AdSa5,AdSa6,AdSa7,AdSa8,AdSa9,AdSa10,AdSa11,AdSa12,AdSa13,AdSa14,AdSa15,MaSa1,MaSa2,MaSa3,MaSa4,MaSa5,MaSa6,MaSa7,MaSa8,MaSa9,MaSa10,MaSa11,MaSa12,MaSa13,MaSa14,MaSa15,OaSa1,OaSa2,OaSa3,OaSa4,OaSa5,OaSa6,OaSa7,OaSa8,OaSa9,OaSa10,OaSa11,OaSa12,OaSa13,OaSa14,OaSa15
K06876,67.49990396,28.11222015,2.954213289,120.5791676,300.3046957,351.4368958,298.3713963,237.4560525,44.58723814,202.7517582,50.45234176,282.753794,288.6522083,167.8122261,104.0626071,11.16599628,9.255329703,36.50407672,82.30701599,169.037458,121.0658438,50.3118938,302.498497,17.09111735,5.780335515,1.949069716,45.56128625,261.5621162,9.554050289,3.601262567,22.17385288,65.88697311,245.7372645,96.350031,12.519873,344.1909184,4.716283091,279.8337251,8.866134731,2.033619684,93.93443481,0.599330556,3.078132447,16.55668973,117.8764777
K06877,333.5838528,260.008491,217.7664834,280.1852721,571.2784399,847.2615005,871.3855644,688.9238201,380.9122624,1189.707245,392.5419778,677.7334041,563.7442702,764.774034,543.6903988,379.1088257,1039.368202,1880.581779,888.609876,1397.74495,846.5079721,1903.637151,1082.984809,1106.371235,688.5130959,363.6917748,834.142612,891.1918489,1903.611416,860.701009,880.7651232,972.9688252,1811.666545,1006.820828,671.0523571,1236.07258,632.7075238,1020.388649,394.9452261,963.8613505,998.6410479,763.4433966,888.7477847,1563.695981,1954.164775
K06878,1206.312627,1263.961103,744.5146562,1586.72007,2847.415168,3896.45407,2986.486276,3196.167177,910.2075805,3412.420991,1060.053668,2589.913429,1947.182663,2465.101722,1763.108311,1057.561925,1241.95227,1597.309984,1279.268333,1164.952372,1687.267353,1156.282699,2956.907603,1159.513006,928.3463605,1033.431725,732.188742,1646.699105,813.561946,458.4631199,967.6599023,1082.529889,1325.701353,1153.706969,1582.825938,2518.159917,1055.788005,1517.966978,1197.720096,541.9404798,1862.928672,563.4492694,806.1832599,1227.742959,1113.769189
K06879,996.9311999,1475.677507,914.1220285,1224.619451,1098.210962,1206.880211,1248.96325,1392.031,1613.791311,1284.486859,1206.219488,1344.664541,1699.670958,1712.426863,1372.21588,1415.450112,1774.914339,1062.788566,1848.760142,1456.664299,2813.759397,2606.434754,1790.248854,1714.277981,1882.245785,1754.750648,1947.579972,2114.225506,895.1407143,664.0309688,1171.603605,1795.324396,941.7713119,1869.340763,1115.727902,1425.139984,1933.432987,2197.11525,1780.414505,837.4707807,2302.200514,1901.753915,1118.366829,2012.333069,2031.177163
K06880,942.3460119,826.2811376,190.6975226,1167.420271,2185.212998,2907.829952,1862.030256,2042.408308,1525.330934,1001.156686,549.0057513,2254.473734,1351.675457,1337.719796,1111.038033,350.2870069,174.6236322,481.8354633,667.6137485,1035.807607,744.7375732,178.4442969,1589.127012,615.1843004,263.2941645,463.6580195,416.6316736,397.6012279,512.961175,479.7124518,429.5548108,489.9142671,792.2404851,403.0163471,423.3341885,1829.321577,253.1182159,271.0098871,227.1821438,351.307659,371.2032742,223.2512262,497.2161783,146.1330566,374.7120184
K06881,4583.849748,5125.187707,4177.169775,4453.290646,5287.407065,5008.837909,5361.409171,4534.418594,4805.876389,4754.307385,5009.101269,5057.033218,4331.393824,4790.205214,5183.077474,3926.14828,4070.718044,4592.934572,3344.762877,3334.41665,2907.868995,2368.513939,3721.79209,3339.533217,3445.955754,3600.681799,3322.096491,2940.044633,3412.050893,4116.373452,4010.919556,4420.920139,3088.985638,3492.185884,3607.474,3832.468085,4227.949503,2886.642807,5061.884828,4760.907759,3336.121002,3410.974529,4951.136266,3262.315472,2821.424556
K06882,2.625052395,5.670273086,7.673750289,6.416169553,0.865465607,0,0,0,0.68500783,0,12.32652329,8.085102176,0,0,1.424546816,28.64522591,6.660432995,2.535444733,4.048253179,14.30736461,0,0,0,1.281139737,19.26430025,7.638240328,2.960811546,1.078841176,0,12.80557943,21.81403035,6.827901286,0,3.062420377,0,0,1.855716805,4.34491577,7.801748374,36.95424978,0,2.527966488,25.0737103,0,0
K06883,38.16758244,26.87030693,38.06823317,19.82970101,45.54028062,44.01877056,29.27224177,33.45913572,64.09451251,45.61199009,50.82202346,86.82245692,68.86018612,41.11172271,48.66591394,35.06664213,21.57114564,115.6380058,43.80734838,69.06709209,113.2386387,20.31428334,21.54883259,61.95806182,31.67638818,30.74466532,105.331109,43.88610117,88.08062322,92.91775849,144.7174685,66.52005983,293.1165833,85.67957736,106.3343986,104.2398215,31.00923274,21.18565646,43.36672202,278.4236809,60.89593488,44.38864837,138.4538925,49.75178342,322.0277791
K06884,64.856655,47.60411487,38.52835221,44.3995747,70.43577552,171.6734051,108.7916681,54.66969576,17.70407562,24.46402113,38.7878791,75.29185451,0,32.94799937,53.15953821,23.41917306,0,44.80928398,0,21.36774296,85.42886784,14.66061049,139.3413966,0,14.9366159,0,15.30447659,0,33.41351505,52.95377634,21.44397091,16.21019469,19.26276449,16.17887849,38.35702186,84.0138462,19.15042958,46.33311252,5.761049604,91.19599148,13.59567561,68.9848406,80.5694528,0,18.32077067
K06885,3412.363422,4061.573631,2519.200385,3404.958118,4960.206683,4532.277877,4713.661866,4321.930272,4223.433779,4620.901082,3938.917557,4377.259339,4272.585228,4553.551541,4774.048074,3067.486302,3644.224986,3970.944149,2875.804649,2877.979402,2500.215596,1931.531327,3304.221477,3044.110255,2417.42123,2775.392872,2959.583842,3138.26189,2097.399905,2686.00218,2870.327949,3317.318468,1901.451527,2811.576451,2897.043665,3381.284743,3471.156236,2193.186641,4196.680427,3522.903848,2927.38773,2693.608063,3943.770358,2600.855481,2192.172889
K06886,2660.684729,3360.975234,1074.979778,3043.251925,5731.882477,5390.264492,5300.19392,5344.245361,4801.751432,4319.682631,3148.605707,4221.460437,3491.5183,4133.971177,4244.236568,2873.301889,3320.74916,3343.721081,2619.418295,3016.181221,2626.375407,2115.663837,3287.495616,2517.178253,1840.1683,2881.879403,2771.277765,2400.006974,2083.202674,1559.927206,2155.669579,2455.593513,2219.70086,1720.190649,1963.022685,3622.642182,2778.74346,1817.508481,3164.75925,877.501453,2071.28727,1410.76351,1899.746025,2481.767204,2410.813962
K06887,4.70754013,17.10298863,0,136.3430493,33.74758368,11.33200276,27.3853606,1.66772901,107.7536766,0,197.8731117,9.923238648,12.97902765,53.22908417,0,140.3177911,16.82110335,206.1249018,28.74626611,149.2121836,19.59327207,22.37662881,58.2880326,112.5317953,17.45950673,85.24499951,171.2714588,5.205210925,131.8888573,237.6026036,264.2647377,119.5039851,17.98008407,161.3815548,64.42241796,70.89109582,37.60582372,12.15423818,158.1586585,811.0125775,22.46648265,42.1516626,473.9798384,10.8684656,30.30048691
K06888,492.0489153,1008.247595,271.840083,540.8873443,1667.49085,1207.392851,1697.561919,1666.419609,1257.888171,592.1241599,1000.956345,782.1676177,890.0303379,757.7240847,1356.605119,436.2452165,732.0825925,847.5325125,454.5372935,851.7984592,524.0817392,410.2881447,587.1035471,694.041274,556.7041647,273.2093674,754.8031172,490.6948211,1034.113848,504.1093599,343.4651435,619.7000434,878.6777752,664.6510896,573.0342774,952.3812334,361.0106656,354.5182518,926.8442851,494.1396447,338.1273098,317.1099256,656.6013755,466.5898043,820.066642
